x;y
459184;4104995
460681;4106494
461195;4105996
461183;4105494
461684;4105989
454437;4104492
474180;4093482
474181;4092993
473685;4090486
473680;4090985
473688;4093919
464686;4089491
464686;4089991
464187;4092246
464185;4091742
463693;4091986
463173;4091992
463183;4092241
462933;4091990
462682;4090987
457194;4101486
457692;4101494
458692;4102490
457182;4102491
457189;4098990
466171;4110004
466683;4109503
466164;4109493
467680;4109503
469205;4108015
469662;4108485
469184;4108993
469184;4108493
477217;4115993
477548;4117329
477181;4114495
477680;4114991
477679;4115493
477242;4115460
478184;4115993
477684;4115995
