UTM_X_GPS;UTM_Y_GPS
522185;4105492
521680;4105491
521694;4104993
521179;4105494
521185;4105994
520683;4105491
520684;4104997
520934;4106493
520680;4106487
520430;4106491
520171;4106489
520432;4106738
520681;4106738
520936;4106743
520934;4106993
520682;4106992
520432;4106995
517684;4104497
517187;4104996
516683;4105493
515437;4106493
515184;4105497
514934;4106242
514931;4106496
515165;4107273
514934;4106997
514937;4106743
514682;4106995
514184;4106991
514186;4105992
513685;4106495
513183;4106995
513189;4106492
513682;4105495
512682;4106494
512666;4106971
511680;4105996
510182;4106490
510182;4106993
509683;4106996
514684;4107246
516681;4106741
527183;4102992
527179;4103489
526683;4103488
527680;4103493
527684;4102996
528180;4102487
528463;4102180
528646;4102176
528693;4101995
526682;4103993
527181;4103992
527686;4103988
528183;4103989
528179;4103490
528182;4102990
528402;4101701
528430;4102491
528671;4102482
528874;4102495
528931;4102742
529186;4102490
529436;4102493
528688;4102736
528434;4102742
528909;4102939
528668;4102988
528431;4102987
528669;4103195
528569;4103449
528686;4103994
527182;4104496
526688;4104493
526681;4104989
526186;4104989
526184;4104490
526188;4103990
527929;4104239
528435;4104243
495687;4108998
495683;4110998
495686;4109992
494683;4108991
494684;4107995
494687;4106994
495687;4106996
493685;4106998
493677;4107988
492686;4107993
492183;4107991
491684;4107994
492685;4108996
492692;4109498
491686;4108997
490183;4109495
490184;4107992
490183;4110495
489686;4109990
489684;4108994
489683;4107992
489684;4108492
488499;4103991
486739;4100971
486687;4099987
485693;4099987
485685;4098993
526681;4102984
527180;4102490
501685;4102997
499680;4101994
501689;4103995
500684;4102994
500686;4104002
501681;4099994
501684;4099492
499684;4102995
502684;4100994
501682;4100997
501687;4101997
498683;4105991
517684;4103001
516686;4103998
516683;4102992
517690;4101996
516667;4101990
517681;4101492
518685;4101990
516686;4102490
515709;4102000
515687;4102996
518683;4100992
514689;4102994
514687;4101990
518684;4101497
483681;4094989
484691;4100992
481685;4100995
480683;4097990
480682;4096998
480684;4095994
480681;4094993
479691;4093993
470196;4089989
469722;4090017
524684;4102991
463693;4091986
463173;4091992
463171;4092499
463183;4092241
462933;4092245
462933;4092494
462933;4091990
462682;4090987
470688;4092994
458692;4102490
457194;4101486
457692;4101494
457685;4100999
456682;4101489
456683;4101988
457182;4102491
455685;4101485
455688;4101990
455185;4102989
454181;4101992
453829;4102397
453682;4102989
453185;4103491
452689;4102992
452690;4101989
452188;4102995
457185;4102988
453181;4102491
453689;4102742
453435;4102991
453426;4102712
453437;4103494
452936;4103494
452935;4103240
453188;4103244
452685;4102491
452435;4102490
452431;4102745
452184;4102744
452434;4102991
451937;4102495
452181;4102241
451932;4102741
452433;4101997
452685;4101741
500683;4109992
499678;4107996
499681;4108998
498680;4110491
458688;4099999
459191;4099993
457189;4098990
457687;4098497
455899;4098802
453180;4100495
452935;4100495
452682;4100492
452685;4100238
452437;4099995
452681;4099992
453180;4100243
453182;4099997
452435;4099739
452183;4099744
452183;4099997
451932;4099743
451938;4099494
451686;4099492
451686;4099742
451681;4099238
451935;4100240
451930;4100496
451679;4100497
453183;4099739
451432;4099494
453682;4099246
453687;4098988
453935;4099239
453937;4099496
498686;4109991
498683;4108994
498679;4107994
498183;4107996
497686;4108996
496685;4107997
497683;4108496
495699;4107997
509687;4107497
509174;4107461
509186;4108496
508686;4107495
508685;4106995
508184;4106998
508681;4106492
507683;4106493
512684;4103994
513686;4102999
513658;4101994
513687;4100994
470176;4108003
470226;4107509
471187;4108493
469169;4109523
465695;4107989
465201;4108004
465183;4107494
464195;4108540
463335;4108925
462642;4109025
463706;4108547
470636;4107014
465691;4109996
466171;4110004
466683;4109503
466164;4109493
467181;4109523
467680;4109503
470371;4108490
472655;4109255
472658;4108874
469205;4108015
469662;4108485
469667;4109000
469184;4108993
504185;4106992
504678;4106994
504682;4107497
504184;4107491
503679;4107992
504178;4107992
504683;4108001
504679;4108495
504179;4108494
504680;4108983
503680;4109007
502680;4106998
502186;4106995
501685;4107493
501680;4107995
502675;4107994
502681;4108991
501682;4108995
501685;4109994
501181;4108995
501186;4109492
501179;4107993
501182;4108481
479682;4114497
