UTM_X_GPS;UTM_Y_GPS
458183;4105492
459435;4105248
459440;4105492
453188;4103244
452435;4102490
452434;4102991
477682;4113556
458682;4103991
459184;4104491
458193;4103995
461862;4091794
462400;4092110
462179;4092696
462527;4093392
464790;4094674
464933;4094864
464838;4095133
464917;4091493
464521;4091509
465060;4090591
463603;4094706
475443;4114734
475361;4113999
475478;4116436
476119;4116086
475233;4115993
475956;4113684
476166;4114384
476247;4113136
476411;4112833
476877;4112577
477215;4112880
478055;4112367
478311;4112880
478428;4112204
478731;4113568
475245;4116844
475443;4117625
475734;4116249
